,,R1,,,R2,,,R3,,,R4,,,R5,,
Group,Isolate,L,RT,%,L,RT,%,L,RT,%,L,RT,%,L,RT,%
J2,AT4-25-12,,,100,5,12,41.67,5,12,41.67,,,,,,
,AN6-25-13,2,3,66.67,14,16,87.5,4,4,100,,,,,,
B,CW12-25-01,,,100,,,100,5,5,100,1,1,100,,,
J4,GDY11-25-03,0,22,0,,,100.00,0,16,0.00,,,,,,
H,ND7-25-02,2,17,11.76,2,5,40.00,3,8,37.5,,,,,,
A,BCN2-25-06,,,100.00,,,100.00,2,9,22.22,,,,,,
H1,C518-25-14,,,100.00,1,14,7.14,0,8,0.00,,,,,,
IS,LN14-25-01,4,11,36.36,5,12,41.67,5,12,41.67,,,,,,
I4,LW14-25-19,0,11,0.00,3,12,25.00,2,8,25,,,,,,
C,BT15-25-15,2,9,22.22,0,15,0.00,2,11,18.18,,,,,,
I3,LW19-25-24,,,100.00,,,100.00,7,15,46.67,,,,,,
,AT4-25-05,3,14,21.43,3,12,25.00,3,12,25,,,,,,
I1,BT15-25-02,1,10,10.00,2,14,14.29,3,16,18.75,,,,,,
T5,BT-15-25-14,,,100.00,3,11,27.27,4,10,40,,,,,,
,BCN2-25-056,1,12,8.33,0,10,0.00,2,14,14.29,,,,,,
AA,MC10-25-09,5,15,33.33,2,14,14.29,2,13,15.38,,,,,,
H,MC10-25-15,,,100.00,,,100.00,,,100,,,,,,
E,HT13-25-03,2,13,15.38,3,3,100.00,3,3,100,,,,,,
H1,BT15-25-08,5,18,27.78,0,14,0.00,,,-,,,,,,
B,LN14-25-01,,,100.00,1,6,16.67,,,-,,,,,,
H,RY5-25-14,,,100.00,,,100.00,2,7,28.57,,,,,,
AA,GT41-25-02,,,100.00,5,14,35.71,3,17,17.65,,,,,,
D,GDY11-25-02,,,100.00,,,100.00,2,3,66.67,,,,,,
AA,RY5-25-O6,2,20,10.00,3,10,30.00,,,-,,,,,,
B,ND7-25-01,1,10,10.00,7,16,43.75,5,8,62.5,,,,,,
,ND7-25-12,8,15,53.33,8,16,50.00,8,15,53.33,,,,,,
B,CR8-25-04,6,14,42.86,7,12,58.33,7,13,53.85,,,,,,
H2,BT15-25-05,,,100.00,,,100.00,4,11,36.36,,,,,,
B,ANG-25-10,0,3,0.00,1,9,11.11,3,10,30,,,,,,
,BTN2-25-06,10,16,62.50,9,12,75.00,11,13,84.62,,,,,,
A,HT13-25-11,5,12,41.67,5,12,41.67,4,13,30.77,,,,,,
G,HT13-25-17,7,11,63.64,6,10,60.00,7,13,53.85,,,,,,
,CONTROL,0,11,0.00,0,13,0.00,0,9,0,,,,,,
B,ANG-26-08,5,12,41.67,3,10,30.00,2,8,25,,,,,,
G,GLG3-25-11,4,20,20.00,2,20,10.00,3,15,20,,,,,,
I2,DK21-23-61,,,100.00,,,100.00,5,11,45.45,,,,,,
C,HT13-25-04,,,100.00,4,14,28.57,,,-,,,,,,
H4,AN6-25-12,6,14,42.86,7,13,53.85,6,9,66.66666667,,,,,,
E,CR8-25-01,1.5,2.5,60.00,2,11,18.18,3.5,11,31.81818182,,,,,,
C,AT4-25-03,,,100.00,,,100.00,2,11,18.18181818,,,,,,
H3,MC10-25-04,2,10,20.00,,,100.00,0.5,1,50,,,,,,
H1,HT13-25-16,0.5,3,16.67,7,12,58.33,4,10,40,,,,,,
A,GTY-25-08,7,12,58.33,8,16,50.00,7,11,63.63636364,,,,,,
A,CW12-25-08,4,11,36.36,5,10,50.00,3,15,20,,,,,,
B,HT13-25-10,5,13,38.46,5,11,45.45,7,14,50,2,3,66.66666667,,,
H,LV9-25-10,,,100.00,0.5,0.5,100.00,0.5,1,50,,,,,,
H,AN6-25-09,1,1.5,66.67,3,12,25.00,1.5,10,15,,,,,,
E,HT13-25-07,5,8,62.50,9,18,50.00,0.5,1,50,,,,,,
A,AT4-25-06,,,100.00,1,9,11.11,3,9,33.33333333,,,,,,
J3,CS18-25-06,6,14,42.86,4,14,28.57,5,14,35.71428571,,,,,,
D,ANG-25-03,10,14,71.43,3,4,75.00,,,-,,,,,,
J1,ANG6-25-12,,,100.00,5,14,35.71,5,11,45.45454545,5,12,41.66666667,,,
B,BT15-25-10,,,100.00,10,13,76.92,10,13,76.92307692,,,,,,
