,,Isolate,R1,R2,R3
,1,AN62503,4,4,
,2,AN62508,2,2,2
,3,AN62509,5,5,3
,4,AN62510,2,3,3
,5,AN62512,4,4,4
,6,AN62512,2,3,4
,7,ANG2513,4,4,4
,8,AT42503,5,5,5
A,9,AT42505,3,2,3
,10,AT42506,2,5,5
,11,AT42512,5,4,3
,12,BCN22505,3,2,2
,13,BCN22506,2,5,5
,14,BCN22506,4,4,4
,15,BT152502,3,2,2
,16,BT152505,5,5,4
,17,BT152506,5,4,4
,18,BT152508,2,2,
,19,BT152510,5,4,4
,20,BT152514,5,4,2
,21,BT152515,3,2,2
,22,CLY32502,4,4,5
,23,CONTROL,1,1,1
,24,CR82501,4,3,2
,25,CR82504,4,4,4
,26,CS182506,3,3,3
,27,CS182514,5,2,2
,28,CW122501,5,5,5
A,29,CW122508,2,2,2
,30,DK212561,5,5,5
,31,GDY112502,5,3,
,32,GDY112503,5,5,2
AB,33,GDY112507,5,3,2
,34,GLY32511,2,2,2
,35,GTY12508,3,3,3
,36,GYT12502,3,4,5
AB,37,HT132504,2,5,
,38,HT132505,5,2,2
,39,HT132507,5,5,4
,40,HT132510,3,3,3
A,41,HT132511,4,3,2
,42,HT132516,3,4,2
,43,HT132517,4,4,3
,44,HT142503,4,4,4
,45,LN142501,3,4,2
,46,LN142505,3,4,3
,47,LN142508,5,4,
,48,LV92510,5,5,2
,49,LW192519,4,2,3
,50,LW192524,4,5,5
,51,MC102503,3,3,3
,52,MC102504,5,5,2
,53,MC102509,4,3,3
,54,MC102515,5,5,5
A,55,ND72501,4,3,2
,56,ND72502,3,3,3
,57,ND72512,4,4,4
,58,RY52506,2,2,
,59,RY52514,5,5,4
