Group,Isolate,L,RT,Percent,Rep
J2,AT4-25-12,,,100.0,R1
B,CW12-25-01,,,100.0,R1
J4,GDY11-25-03,0.0,22.0,0.0,R1
H,ND7-25-02,2.0,17.0,11.76,R1
A,BCN2-25-06,,,100.0,R1
H1,C518-25-14,,,100.0,R1
IS,LN14-25-01,4.0,11.0,36.36,R1
I4,LW14-25-19,0.0,11.0,0.0,R1
C,BT15-25-15,2.0,9.0,22.22,R1
I3,LW19-25-24,,,100.0,R1
I1,BT15-25-02,1.0,10.0,10.0,R1
T5,BT-15-25-14,,,100.0,R1
AA,MC10-25-09,5.0,15.0,33.33,R1
H,MC10-25-15,,,100.0,R1
E,HT13-25-03,2.0,13.0,15.38,R1
H1,BT15-25-08,5.0,18.0,27.78,R1
B,LN14-25-01,,,100.0,R1
H,RY5-25-14,,,100.0,R1
AA,GT41-25-02,,,100.0,R1
D,GDY11-25-02,,,100.0,R1
AA,RY5-25-O6,2.0,20.0,10.0,R1
B,ND7-25-01,1.0,10.0,10.0,R1
B,CR8-25-04,6.0,14.0,42.86,R1
H2,BT15-25-05,,,100.0,R1
B,ANG-25-10,0.0,3.0,0.0,R1
A,HT13-25-11,5.0,12.0,41.67,R1
G,HT13-25-17,7.0,11.0,63.64,R1
B,ANG-26-08,5.0,12.0,41.67,R1
G,GLG3-25-11,4.0,20.0,20.0,R1
I2,DK21-23-61,,,100.0,R1
C,HT13-25-04,,,100.0,R1
H4,AN6-25-12,6.0,14.0,42.86,R1
E,CR8-25-01,1.5,2.5,60.0,R1
C,AT4-25-03,,,100.0,R1
H3,MC10-25-04,2.0,10.0,20.0,R1
H1,HT13-25-16,0.5,3.0,16.67,R1
A,GTY-25-08,7.0,12.0,58.33,R1
A,CW12-25-08,4.0,11.0,36.36,R1
B,HT13-25-10,5.0,13.0,38.46,R1
H,LV9-25-10,,,100.0,R1
H,AN6-25-09,1.0,1.5,66.67,R1
E,HT13-25-07,5.0,8.0,62.5,R1
A,AT4-25-06,,,100.0,R1
J3,CS18-25-06,6.0,14.0,42.86,R1
D,ANG-25-03,10.0,14.0,71.43,R1
J1,ANG6-25-12,,,100.0,R1
B,BT15-25-10,,,100.0,R1
J2,AT4-25-12,5.0,12.0,41.67,R2
B,CW12-25-01,,,100.0,R2
J4,GDY11-25-03,,,100.0,R2
H,ND7-25-02,2.0,5.0,40.0,R2
A,BCN2-25-06,,,100.0,R2
H1,C518-25-14,1.0,14.0,7.14,R2
IS,LN14-25-01,5.0,12.0,41.67,R2
I4,LW14-25-19,3.0,12.0,25.0,R2
C,BT15-25-15,0.0,15.0,0.0,R2
I3,LW19-25-24,,,100.0,R2
I1,BT15-25-02,2.0,14.0,14.29,R2
T5,BT-15-25-14,3.0,11.0,27.27,R2
AA,MC10-25-09,2.0,14.0,14.29,R2
H,MC10-25-15,,,100.0,R2
E,HT13-25-03,3.0,3.0,100.0,R2
H1,BT15-25-08,0.0,14.0,0.0,R2
B,LN14-25-01,1.0,6.0,16.67,R2
H,RY5-25-14,,,100.0,R2
AA,GT41-25-02,5.0,14.0,35.71,R2
D,GDY11-25-02,,,100.0,R2
AA,RY5-25-O6,3.0,10.0,30.0,R2
B,ND7-25-01,7.0,16.0,43.75,R2
B,CR8-25-04,7.0,12.0,58.33,R2
H2,BT15-25-05,,,100.0,R2
B,ANG-25-10,1.0,9.0,11.11,R2
A,HT13-25-11,5.0,12.0,41.67,R2
G,HT13-25-17,6.0,10.0,60.0,R2
B,ANG-26-08,3.0,10.0,30.0,R2
G,GLG3-25-11,2.0,20.0,10.0,R2
I2,DK21-23-61,,,100.0,R2
C,HT13-25-04,4.0,14.0,28.57,R2
H4,AN6-25-12,7.0,13.0,53.85,R2
E,CR8-25-01,2.0,11.0,18.18,R2
C,AT4-25-03,,,100.0,R2
H3,MC10-25-04,,,100.0,R2
H1,HT13-25-16,7.0,12.0,58.33,R2
A,GTY-25-08,8.0,16.0,50.0,R2
A,CW12-25-08,5.0,10.0,50.0,R2
B,HT13-25-10,5.0,11.0,45.45,R2
